,sigUF,mdaPotenciaInstaladakW,mesReferencia,anoReferencia
875,PI,2009786.0,8,2018
876,PR,16688262.75,8,2018
877,RJ,8487215.53,8,2018
878,RN,4361099.84,8,2018
879,RO,8308669.18,8,2018
880,RR,263813.38,8,2018
881,RS,9581159.36,8,2018
882,SC,4722108.61,8,2018
883,SE,3296239.4,8,2018
884,SP,23299235.27,8,2018
885,TO,1935953.0,8,2018
886,AC,115727.8,11,2018
887,AL,746386.6,11,2018
888,AM,1979247.64,11,2018
889,AP,1030316.2,11,2018
890,BA,11297712.82,11,2018
891,CE,4247735.1,11,2018
892,DF,56358.4,11,2018
893,ES,1573679.63,11,2018
894,GO,7712973.69,11,2018
895,MA,3815422.43,11,2018
896,MG,16360043.07,11,2018
897,MS,2481658.39,11,2018
898,MT,3086141.98,11,2018
899,PA,18664097.65,11,2018
900,PB,851278.8,11,2018
901,PE,4279378.64,11,2018
902,PI,2096986.0,11,2018
903,PR,16688965.3,11,2018
904,RJ,8496758.78,11,2018
905,RN,4361099.99,11,2018
906,RO,8311330.6,11,2018
907,RR,263878.38,11,2018
908,RS,9101010.16,11,2018
909,SC,4738975.71,11,2018
910,SE,3296559.4,11,2018
911,SP,23335290.67,11,2018
912,TO,1937803.0,11,2018
