"","date","value"
"1",1990-01-01,20
"2",1990-02-01,0
"3",1990-03-01,0
"4",1990-04-01,0
"5",1990-05-01,153
"6",1990-06-01,574
"7",1990-07-01,44
"8",1990-08-01,12
"9",1990-09-01,16
"10",1990-10-01,25
"11",1990-11-01,157
"12",1990-12-01,332
"13",1991-01-01,0
"14",1991-02-01,8
"15",1991-03-01,245
"16",1991-04-01,117
"17",1991-05-01,60
"18",1991-06-01,6
"19",1991-07-01,251
"20",1991-08-01,135
"21",1991-09-01,9
"22",1991-10-01,0
"23",1991-11-01,9
"24",1991-12-01,127
"25",1992-01-01,21
"26",1992-02-01,101
"27",1992-03-01,1129
"28",1992-04-01,181
"29",1992-05-01,608
"30",1992-06-01,38
"31",1992-07-01,105
"32",1992-08-01,53
"33",1992-09-01,98
"34",1992-10-01,88
"35",1992-11-01,333
"36",1992-12-01,98
"37",1993-01-01,927
"38",1993-02-01,424
"39",1993-03-01,154
"40",1993-04-01,1215
"41",1993-05-01,187
"42",1993-06-01,104
"43",1993-07-01,318
"44",1993-08-01,125
"45",1993-09-01,589
"46",1993-10-01,47
"47",1993-11-01,989
"48",1993-12-01,152
"49",1994-01-01,126
"50",1994-02-01,127
"51",1994-03-01,926
"52",1994-04-01,83
"53",1994-05-01,352
"54",1994-06-01,0
"55",1994-07-01,378
"56",1994-08-01,246
"57",1994-09-01,382
"58",1994-10-01,292
"59",1994-11-01,573
"60",1994-12-01,633
"61",1995-01-01,300
"62",1995-02-01,752
"63",1995-03-01,516
"64",1995-04-01,383
"65",1995-05-01,1674
"66",1995-06-01,434
"67",1995-07-01,587
"68",1995-08-01,444
"69",1995-09-01,434
"70",1995-10-01,627
"71",1995-11-01,745
"72",1995-12-01,648
"73",1996-01-01,520
"74",1996-02-01,489
"75",1996-03-01,389
"76",1996-04-01,238
"77",1996-05-01,497
"78",1996-06-01,492
"79",1996-07-01,479
"80",1996-08-01,370
"81",1996-09-01,596
"82",1996-10-01,722
"83",1996-11-01,807
"84",1996-12-01,1021
"85",1997-01-01,546
"86",1997-02-01,628
"87",1997-03-01,287
"88",1997-04-01,355
"89",1997-05-01,797
"90",1997-06-01,438
"91",1997-07-01,359
"92",1997-08-01,355
"93",1997-09-01,304
"94",1997-10-01,317
"95",1997-11-01,374
"96",1997-12-01,1194
"97",1998-01-01,236
"98",1998-02-01,295
"99",1998-03-01,707
"100",1998-04-01,746
"101",1998-05-01,538
"102",1998-06-01,582
"103",1998-07-01,796
"104",1998-08-01,1433
"105",1998-09-01,863
"106",1998-10-01,1209
"107",1998-11-01,1612
"108",1998-12-01,1217
"109",1999-01-01,233
"110",1999-02-01,151
"111",1999-03-01,98
"112",1999-04-01,108
"113",1999-05-01,101
"114",1999-06-01,67
"115",1999-07-01,83
"116",1999-08-01,79
"117",1999-09-01,114
"118",1999-10-01,52
"119",1999-11-01,171
"120",1999-12-01,258
"121",2000-01-01,186
"122",2000-02-01,257
"123",2000-03-01,244
"124",2000-04-01,1443
"125",2000-05-01,457
"126",2000-06-01,247
"127",2000-07-01,268
"128",2000-08-01,524
"129",2000-09-01,326
"130",2000-10-01,361
"131",2000-11-01,195
"132",2000-12-01,350
"133",2001-01-01,518
"134",2001-02-01,91
"135",2001-03-01,100
"136",2001-04-01,186
"137",2001-05-01,786
"138",2001-06-01,409
"139",2001-07-01,83
"140",2001-08-01,464
"141",2001-09-01,207
"142",2001-10-01,207
"143",2001-11-01,226
"144",2001-12-01,162
"145",2002-01-01,946
"146",2002-02-01,94
"147",2002-03-01,208
"148",2002-04-01,56
"149",2002-05-01,170
"150",2002-06-01,731
"151",2002-07-01,27
"152",2002-08-01,99
"153",2002-09-01,231
"154",2002-10-01,133
"155",2002-11-01,31
"156",2002-12-01,66
"157",2003-01-01,14
"158",2003-02-01,49
"159",2003-03-01,35
"160",2003-04-01,102
"161",2003-05-01,231
"162",2003-06-01,78
"163",2003-07-01,113
"164",2003-08-01,392
"165",2003-09-01,388
"166",2003-10-01,247
"167",2003-11-01,304
"168",2003-12-01,139
"169",2004-01-01,93
"170",2004-02-01,125
"171",2004-03-01,125
"172",2004-04-01,174
"173",2004-05-01,228
"174",2004-06-01,145
"175",2004-07-01,49
"176",2004-08-01,50
"177",2004-09-01,106
"178",2004-10-01,260
"179",2004-11-01,243
"180",2004-12-01,271
"181",2005-01-01,42
"182",2005-02-01,39
"183",2005-03-01,25
"184",2005-04-01,102
"185",2005-05-01,46
"186",2005-06-01,53
"187",2005-07-01,72
"188",2005-08-01,86
"189",2005-09-01,29
"190",2005-10-01,77
"191",2005-11-01,65
"192",2005-12-01,244
"193",2006-01-01,6
"194",2006-02-01,342
"195",2006-03-01,162
"196",2006-04-01,68
"197",2006-05-01,56
"198",2006-06-01,25
"199",2006-07-01,24
"200",2006-08-01,66
"201",2006-09-01,35
"202",2006-10-01,212
"203",2006-11-01,69
"204",2006-12-01,50
"205",2007-01-01,11
"206",2007-02-01,33
"207",2007-03-01,107
"208",2007-04-01,43
"209",2007-05-01,84
"210",2007-06-01,138
"211",2007-07-01,70
"212",2007-08-01,126
"213",2007-09-01,109
"214",2007-10-01,119
"215",2007-11-01,91
"216",2007-12-01,144
"217",2008-01-01,58
"218",2008-02-01,277
"219",2008-03-01,78
"220",2008-04-01,288
"221",2008-05-01,366
"222",2008-06-01,195
"223",2008-07-01,345
"224",2008-08-01,125
"225",2008-09-01,144
"226",2008-10-01,236
"227",2008-11-01,285
"228",2008-12-01,58
"229",2009-01-01,188
"230",2009-02-01,47
"231",2009-03-01,183
"232",2009-04-01,384
"233",2009-05-01,5187
"234",2009-06-01,422
"235",2009-07-01,685
"236",2009-08-01,518
"237",2009-09-01,1137
"238",2009-10-01,347
"239",2009-11-01,295
"240",2009-12-01,675
"241",2010-01-01,227
"242",2010-02-01,449
"243",2010-03-01,1036
"244",2010-04-01,330
"245",2010-05-01,445
"246",2010-06-01,640
"247",2010-07-01,854
"248",2010-08-01,673
"249",2010-09-01,840
"250",2010-10-01,706
"251",2010-11-01,570
"252",2010-12-01,716
"253",2011-01-01,544
"254",2011-02-01,787
"255",2011-03-01,634
"256",2011-04-01,548
"257",2011-05-01,260
"258",2011-06-01,971
"259",2011-07-01,356
"260",2011-08-01,357
"261",2011-09-01,693
"262",2011-10-01,461
"263",2011-11-01,705
"264",2011-12-01,439
"265",2012-01-01,627
"266",2012-02-01,343
"267",2012-03-01,286
"268",2012-04-01,981
"269",2012-05-01,489
"270",2012-06-01,458
"271",2012-07-01,376
"272",2012-08-01,125
"273",2012-09-01,495
"274",2012-10-01,480
"275",2012-11-01,576
"276",2012-12-01,620
"277",2013-01-01,277
"278",2013-02-01,739
"279",2013-03-01,299
"280",2013-04-01,636
"281",2013-05-01,692
"282",2013-06-01,300
"283",2013-07-01,603
"284",2013-08-01,621
"285",2013-09-01,1089
"286",2013-10-01,466
"287",2013-11-01,237
"288",2013-12-01,906
"289",2014-01-01,585
"290",2014-02-01,716
"291",2014-03-01,522
"292",2014-04-01,990
"293",2014-05-01,683
"294",2014-06-01,712
"295",2014-07-01,623
"296",2014-08-01,978
"297",2014-09-01,1238
"298",2014-10-01,1204
"299",2014-11-01,993
"300",2014-12-01,852
"301",2015-01-01,650
"302",2015-02-01,1285
"303",2015-03-01,1102
"304",2015-04-01,1656
"305",2015-05-01,1028
"306",2015-06-01,868
"307",2015-07-01,970
"308",2015-08-01,790
"309",2015-09-01,324
"310",2015-10-01,179
"311",2015-11-01,525
"312",2015-12-01,208
"313",2016-01-01,380
"314",2016-02-01,1261
"315",2016-03-01,219
"316",2016-04-01,192
"317",2016-05-01,343
"318",2016-06-01,1297
"319",2016-07-01,440
"320",2016-08-01,709
"321",2016-09-01,341
"322",2016-10-01,513
"323",2016-11-01,1077
"324",2016-12-01,331
"325",2017-01-01,648
"326",2017-02-01,491
"327",2017-03-01,676
"328",2017-04-01,336
"329",2017-05-01,599
"330",2017-06-01,1195
"331",2017-07-01,699
"332",2017-08-01,905
"333",2017-09-01,520
"334",2017-10-01,615
"335",2017-11-01,720
