"","date","value"
"1",2008-01-01,-1256.55
"2",2008-04-01,-751.02
"3",2008-07-01,-40.61
"4",2008-10-01,1302.17
"5",2009-01-01,10.78
"6",2009-04-01,-498.69
"7",2009-07-01,313.57
"8",2009-10-01,1574.23
"9",2010-01-01,-492.05
"10",2010-04-01,260.74
"11",2010-07-01,360.25
"12",2010-10-01,2066.45
"13",2011-01-01,-1075.82
"14",2011-04-01,-345.12
"15",2011-07-01,-280.32
"16",2011-10-01,-428.05
"17",2012-01-01,-959.41
"18",2012-04-01,-569.96
"19",2012-07-01,63.71
"20",2012-10-01,997.25
"21",2013-01-01,-1009.36
"22",2013-04-01,32.79
"23",2013-07-01,1319.26
"24",2013-10-01,1054.34
"25",2014-01-01,-1255.27
"26",2014-04-01,609.99
"27",2014-07-01,1175.91
"28",2014-10-01,1822.92
"29",2015-01-01,-994.79
"30",2015-04-01,319.12
"31",2015-07-01,1096.89
"32",2015-10-01,1324
"33",2016-01-01,-810.04
"34",2016-04-01,-34.88
"35",2016-07-01,1011.81
"36",2016-10-01,89.2
"37",2017-01-01,-1981.64
"38",2017-04-01,44.54
"39",2017-07-01,960.32
"40",2017-10-01,1656.03
"41",2018-01-01,-2552.03
"42",2018-04-01,975.15
"43",2018-07-01,616.57
