"","date","value"
"1",2004-01-01,8029
"2",2004-02-01,7905
"3",2004-03-01,8330
"4",2004-04-01,8388
"5",2004-05-01,8737
"6",2004-06-01,8857
"7",2004-07-01,8873
"8",2004-08-01,8920
"9",2004-09-01,9020
"10",2004-10-01,9101
"11",2004-11-01,9147
"12",2004-12-01,8983
"13",2005-01-01,8866
"14",2005-02-01,8847
"15",2005-03-01,8910
"16",2005-04-01,9054
"17",2005-05-01,9037
"18",2005-06-01,9348
"19",2005-07-01,9688
"20",2005-08-01,9774
"21",2005-09-01,9812
"22",2005-10-01,9755
"23",2005-11-01,9701
"24",2005-12-01,10062
"25",2006-01-01,9943
"26",2006-02-01,10014
"27",2006-03-01,10012
"28",2006-04-01,10113
"29",2006-05-01,10487
"30",2006-06-01,10718
"31",2006-07-01,10924
"32",2006-08-01,11050
"33",2006-09-01,11500
"34",2006-10-01,11717
"35",2006-11-01,11957
"36",2006-12-01,11858
"37",2007-01-01,11689
"38",2007-02-01,11780
"39",2007-03-01,11652
"40",2007-04-01,12060
"41",2007-05-01,12181
"42",2007-06-01,12349
"43",2007-07-01,12533
"44",2007-08-01,12844
"45",2007-09-01,12992
"46",2007-10-01,13426
"47",2007-11-01,13705
"48",2007-12-01,14126
"49",2008-01-01,14075
"50",2008-02-01,14451
"51",2008-03-01,14661
"52",2008-04-01,14921
"53",2008-05-01,15331
"54",2008-06-01,15827
"55",2008-07-01,16165
"56",2008-08-01,16765
"57",2008-09-01,17584
"58",2008-10-01,18511
"59",2008-11-01,19080
"60",2008-12-01,19321
"61",2009-01-01,18998
"62",2009-02-01,18684
"63",2009-03-01,18778
"64",2009-04-01,19114
"65",2009-05-01,19333
"66",2009-06-01,19421
"67",2009-07-01,19775
"68",2009-08-01,20138
"69",2009-09-01,20234
"70",2009-10-01,20858
"71",2009-11-01,21561
"72",2009-12-01,22318
"73",2010-01-01,21740
"74",2010-02-01,21810
"75",2010-03-01,22012
"76",2010-04-01,22415
"77",2010-05-01,22992
"78",2010-06-01,23901
"79",2010-07-01,24443
"80",2010-08-01,25790
"81",2010-09-01,26536
"82",2010-10-01,26947
"83",2010-11-01,27721
"84",2010-12-01,28755
"85",2011-01-01,28201
"86",2011-02-01,28183
"87",2011-03-01,28914
"88",2011-04-01,29289
"89",2011-05-01,29882
"90",2011-06-01,30769
"91",2011-07-01,30533
"92",2011-08-01,31067
"93",2011-09-01,32664
"94",2011-10-01,33157
"95",2011-11-01,33830
"96",2011-12-01,34807
"97",2012-01-01,33692
"98",2012-02-01,33737
"99",2012-03-01,34001
"100",2012-04-01,34503
"101",2012-05-01,35084
"102",2012-06-01,35873
"103",2012-07-01,36435
"104",2012-08-01,37104
"105",2012-09-01,38103
"106",2012-10-01,38650
"107",2012-11-01,39189
"108",2012-12-01,41385
"109",2013-01-01,40618
"110",2013-02-01,40443
"111",2013-03-01,40309
"112",2013-04-01,40747
"113",2013-05-01,41511
"114",2013-06-01,42288
"115",2013-07-01,42360
"116",2013-08-01,43355
"117",2013-09-01,44467
"118",2013-10-01,45241
"119",2013-11-01,45503
"120",2013-12-01,46458
"121",2014-01-01,45804
"122",2014-02-01,46175
"123",2014-03-01,46311
"124",2014-04-01,46308
"125",2014-05-01,46384
"126",2014-06-01,46648
"127",2014-07-01,46199
"128",2014-08-01,45830
"129",2014-09-01,46026
"130",2014-10-01,46367
"131",2014-11-01,46917
"132",2014-12-01,48053
"133",2015-01-01,47297
"134",2015-02-01,46845
"135",2015-03-01,46824
"136",2015-04-01,46528
"137",2015-05-01,46241
"138",2015-06-01,46684
"139",2015-07-01,46475
"140",2015-08-01,46495
"141",2015-09-01,47446
"142",2015-10-01,47058
"143",2015-11-01,46676
"144",2015-12-01,47307
"145",2016-01-01,46533
"146",2016-02-01,45833
"147",2016-03-01,44878
"148",2016-04-01,44668
"149",2016-05-01,43837
"150",2016-06-01,43826
"151",2016-07-01,43097
"152",2016-08-01,42800
"153",2016-09-01,42663
"154",2016-10-01,42291
"155",2016-11-01,41931
"156",2016-12-01,42191
"157",2017-01-01,40887
"158",2017-02-01,40755
"159",2017-03-01,40445
"160",2017-04-01,40432
"161",2017-05-01,39921
"162",2017-06-01,40434
"163",2017-07-01,39782
"164",2017-08-01,39710
"165",2017-09-01,40025
"166",2017-10-01,40088
"167",2017-11-01,39751
"168",2017-12-01,40154
"169",2018-01-01,39214
"170",2018-02-01,39130
"171",2018-03-01,39757
"172",2018-04-01,39625
"173",2018-05-01,40006
"174",2018-06-01,40176
"175",2018-07-01,39710
"176",2018-08-01,39488
"177",2018-09-01,39945
"178",2018-10-01,39721
"179",2018-11-01,40292
"180",2018-12-01,41211
"181",2019-01-01,40404
