"","date","value"
"1",1990-01-01,26
"2",1990-02-01,0
"3",1990-03-01,0
"4",1990-04-01,0
"5",1990-05-01,-119
"6",1990-06-01,-574
"7",1990-07-01,-44
"8",1990-08-01,21
"9",1990-09-01,18
"10",1990-10-01,-25
"11",1990-11-01,-123
"12",1990-12-01,-332
"13",1991-01-01,0
"14",1991-02-01,-8
"15",1991-03-01,-245
"16",1991-04-01,-117
"17",1991-05-01,11
"18",1991-06-01,59
"19",1991-07-01,-240
"20",1991-08-01,-126
"21",1991-09-01,-9
"22",1991-10-01,114
"23",1991-11-01,-9
"24",1991-12-01,-127
"25",1992-01-01,45
"26",1992-02-01,-101
"27",1992-03-01,-1129
"28",1992-04-01,789
"29",1992-05-01,1106
"30",1992-06-01,53
"31",1992-07-01,342
"32",1992-08-01,-4
"33",1992-09-01,-30
"34",1992-10-01,-77
"35",1992-11-01,-333
"36",1992-12-01,-50
"37",1993-01-01,-799
"38",1993-02-01,-318
"39",1993-03-01,211
"40",1993-04-01,-346
"41",1993-05-01,470
"42",1993-06-01,-17
"43",1993-07-01,186
"44",1993-08-01,-88
"45",1993-09-01,637
"46",1993-10-01,588
"47",1993-11-01,-736
"48",1993-12-01,1536
"49",1994-01-01,-78
"50",1994-02-01,353
"51",1994-03-01,-463
"52",1994-04-01,204
"53",1994-05-01,-217
"54",1994-06-01,439
"55",1994-07-01,-181
"56",1994-08-01,-195
"57",1994-09-01,353
"58",1994-10-01,970
"59",1994-11-01,-427
"60",1994-12-01,758
"61",1995-01-01,-142
"62",1995-02-01,-201
"63",1995-03-01,-35
"64",1995-04-01,-375
"65",1995-05-01,-1045
"66",1995-06-01,-275
"67",1995-07-01,-405
"68",1995-08-01,7
"69",1995-09-01,455
"70",1995-10-01,-89
"71",1995-11-01,-499
"72",1995-12-01,-582
"73",1996-01-01,-44
"74",1996-02-01,561
"75",1996-03-01,70
"76",1996-04-01,39
"77",1996-05-01,426
"78",1996-06-01,495
"79",1996-07-01,398
"80",1996-08-01,797
"81",1996-09-01,-493
"82",1996-10-01,1
"83",1996-11-01,-753
"84",1996-12-01,-1001
"85",1997-01-01,-272
"86",1997-02-01,-158
"87",1997-03-01,225
"88",1997-04-01,132
"89",1997-05-01,-717
"90",1997-06-01,-368
"91",1997-07-01,-228
"92",1997-08-01,-260
"93",1997-09-01,-199
"94",1997-10-01,-217
"95",1997-11-01,-217
"96",1997-12-01,-1092
"97",1998-01-01,-162
"98",1998-02-01,649
"99",1998-03-01,-565
"100",1998-04-01,-602
"101",1998-05-01,-202
"102",1998-06-01,-456
"103",1998-07-01,-666
"104",1998-08-01,-1355
"105",1998-09-01,-782
"106",1998-10-01,-1102
"107",1998-11-01,-1364
"108",1998-12-01,-1146
"109",1999-01-01,-132
"110",1999-02-01,24
"111",1999-03-01,182
"112",1999-04-01,39
"113",1999-05-01,97
"114",1999-06-01,56
"115",1999-07-01,54
"116",1999-08-01,38
"117",1999-09-01,-20
"118",1999-10-01,95
"119",1999-11-01,-55
"120",1999-12-01,-181
"121",2000-01-01,-39
"122",2000-02-01,-73
"123",2000-03-01,-59
"124",2000-04-01,-1186
"125",2000-05-01,-215
"126",2000-06-01,40
"127",2000-07-01,-9
"128",2000-08-01,-327
"129",2000-09-01,-171
"130",2000-10-01,-187
"131",2000-11-01,61
"132",2000-12-01,-107
"133",2001-01-01,-212
"134",2001-02-01,78
"135",2001-03-01,389
"136",2001-04-01,270
"137",2001-05-01,-342
"138",2001-06-01,-75
"139",2001-07-01,307
"140",2001-08-01,-50
"141",2001-09-01,99
"142",2001-10-01,111
"143",2001-11-01,201
"144",2001-12-01,163
"145",2002-01-01,-507
"146",2002-02-01,350
"147",2002-03-01,400
"148",2002-04-01,443
"149",2002-05-01,515
"150",2002-06-01,-300
"151",2002-07-01,579
"152",2002-08-01,343
"153",2002-09-01,173
"154",2002-10-01,381
"155",2002-11-01,511
"156",2002-12-01,341
"157",2003-01-01,291
"158",2003-02-01,510
"159",2003-03-01,143
"160",2003-04-01,338
"161",2003-05-01,-21
"162",2003-06-01,206
"163",2003-07-01,202
"164",2003-08-01,270
"165",2003-09-01,-243
"166",2003-10-01,70
"167",2003-11-01,-80
"168",2003-12-01,54
"169",2004-01-01,209
"170",2004-02-01,276
"171",2004-03-01,265
"172",2004-04-01,151
"173",2004-05-01,488
"174",2004-06-01,386
"175",2004-07-01,384
"176",2004-08-01,406
