"","date","value"
"1",1980-01-01,9003
"2",1980-02-01,8891
"3",1980-03-01,8956
"4",1980-04-01,9066
"5",1980-05-01,9251
"6",1980-06-01,9298
"7",1980-07-01,9234
"8",1980-08-01,9679
"9",1980-09-01,9614
"10",1980-10-01,9608
"11",1980-11-01,9954
"12",1980-12-01,9501
"13",1981-01-01,10102
"14",1981-02-01,9468
"15",1981-03-01,9804
"16",1981-04-01,9405
"17",1981-05-01,9656
"18",1981-06-01,9360
"19",1981-07-01,9470
"20",1981-08-01,9752
"21",1981-09-01,9486
"22",1981-10-01,9589
"23",1981-11-01,9781
"24",1981-12-01,9529
"25",1982-01-01,9885
"26",1982-02-01,9393
"27",1982-03-01,9712
"28",1982-04-01,10447
"29",1982-05-01,9999
"30",1982-06-01,10193
"31",1982-07-01,10325
"32",1982-08-01,10541
"33",1982-09-01,10698
"34",1982-10-01,10515
"35",1982-11-01,10644
"36",1982-12-01,10453
"37",1983-01-01,10630
"38",1983-02-01,10253
"39",1983-03-01,10360
"40",1983-04-01,11266
"41",1983-05-01,10788
"42",1983-06-01,11411
"43",1983-07-01,10945
"44",1983-08-01,11077
"45",1983-09-01,11608
"46",1983-10-01,11402
"47",1983-11-01,11366
"48",1983-12-01,11332
"49",1984-01-01,11642
"50",1984-02-01,11968
"51",1984-03-01,12207
"52",1984-04-01,11626
"53",1984-05-01,12031
"54",1984-06-01,12277
"55",1984-07-01,12210
"56",1984-08-01,12698
"57",1984-09-01,12953
"58",1984-10-01,12520
"59",1984-11-01,13420
"60",1984-12-01,12845
"61",1985-01-01,13204
"62",1985-02-01,13114
"63",1985-03-01,13079
"64",1985-04-01,13651
"65",1985-05-01,13224
"66",1985-06-01,13528
"67",1985-07-01,12965
"68",1985-08-01,13969
"69",1985-09-01,13918
"70",1985-10-01,14002
"71",1985-11-01,14320
"72",1985-12-01,14041
"73",1986-01-01,14120
"74",1986-02-01,13709
"75",1986-03-01,13152
"76",1986-04-01,13894
"77",1986-05-01,14756
"78",1986-06-01,14514
"79",1986-07-01,14502
"80",1986-08-01,15227
"81",1986-09-01,15028
"82",1986-10-01,15124
"83",1986-11-01,15559
"84",1986-12-01,14685
"85",1987-01-01,15698
"86",1987-02-01,14422
"87",1987-03-01,14885
"88",1987-04-01,14412
"89",1987-05-01,14940
"90",1987-06-01,14357
"91",1987-07-01,14618
"92",1987-08-01,15267
"93",1987-09-01,15093
"94",1987-10-01,15220
"95",1987-11-01,15568
"96",1987-12-01,15092
"97",1988-01-01,15798
"98",1988-02-01,15379
"99",1988-03-01,15466
"100",1988-04-01,16087
"101",1988-05-01,15117
"102",1988-06-01,15482
"103",1988-07-01,15649
"104",1988-08-01,15529
"105",1988-09-01,16418
"106",1988-10-01,16286
"107",1988-11-01,15592
"108",1988-12-01,15794
"109",1989-01-01,15882
"110",1989-02-01,16006
"111",1989-03-01,15232
"112",1989-04-01,16510
"113",1989-05-01,15872
"114",1989-06-01,16383
"115",1989-07-01,16669
"116",1989-08-01,16566
"117",1989-09-01,17513
"118",1989-10-01,16810
"119",1989-11-01,17208
"120",1989-12-01,16534
"121",1990-01-01,16919
"122",1990-02-01,16907
"123",1990-03-01,16513
"124",1990-04-01,16626
"125",1990-05-01,15357
"126",1990-06-01,16266
"127",1990-07-01,16025
"128",1990-08-01,16800
"129",1990-09-01,17602
"130",1990-10-01,16974
"131",1990-11-01,17837
"132",1990-12-01,16813
"133",1991-01-01,16795
"134",1991-02-01,16892
"135",1991-03-01,16010
"136",1991-04-01,16876
"137",1991-05-01,17439
"138",1991-06-01,17744
"139",1991-07-01,17276
"140",1991-08-01,18179
"141",1991-09-01,18214
"142",1991-10-01,17986
"143",1991-11-01,18373
"144",1991-12-01,17624
"145",1992-01-01,17750
"146",1992-02-01,17706
"147",1992-03-01,17710
"148",1992-04-01,17306
"149",1992-05-01,17810
"150",1992-06-01,17424
"151",1992-07-01,17665
"152",1992-08-01,18107
"153",1992-09-01,17827
"154",1992-10-01,17821
"155",1992-11-01,18111
"156",1992-12-01,17520
"157",1993-01-01,18070
"158",1993-02-01,17416
"159",1993-03-01,17781
"160",1993-04-01,19100
"161",1993-05-01,18312
"162",1993-06-01,18316
"163",1993-07-01,18259
"164",1993-08-01,18673
"165",1993-09-01,18881
"166",1993-10-01,18630
"167",1993-11-01,18879
"168",1993-12-01,18331
"169",1994-01-01,18513
"170",1994-02-01,18164
"171",1994-03-01,18130
"172",1994-04-01,19073
"173",1994-05-01,18179
"174",1994-06-01,18851
"175",1994-07-01,18177
"176",1994-08-01,18558
"177",1994-09-01,19666
"178",1994-10-01,19597
"179",1994-11-01,19519
"180",1994-12-01,19498
"181",1995-01-01,20175
"182",1995-02-01,19829
"183",1995-03-01,20085
"184",1995-04-01,20548
"185",1995-05-01,19866
"186",1995-06-01,19954
"187",1995-07-01,20041
"188",1995-08-01,20062
"189",1995-09-01,21108
"190",1995-10-01,20415
"191",1995-11-01,21199
"192",1995-12-01,20554
"193",1996-01-01,20662
"194",1996-02-01,21093
"195",1996-03-01,21027
"196",1996-04-01,21546
"197",1996-05-01,21206
"198",1996-06-01,21345
"199",1996-07-01,20882
"200",1996-08-01,22006
"201",1996-09-01,21953
"202",1996-10-01,21946
"203",1996-11-01,22087
"204",1996-12-01,21858
"205",1997-01-01,22566
"206",1997-02-01,22332
"207",1997-03-01,21818
"208",1997-04-01,22306
"209",1997-05-01,22698
"210",1997-06-01,22255
"211",1997-07-01,22442
"212",1997-08-01,23110
"213",1997-09-01,23161
"214",1997-10-01,23614
"215",1997-11-01,23954
"216",1997-12-01,23025
"217",1998-01-01,23920
"218",1998-02-01,23065
"219",1998-03-01,23083
"220",1998-04-01,24178
"221",1998-05-01,23830
"222",1998-06-01,22952
"223",1998-07-01,23265
"224",1998-08-01,24082
"225",1998-09-01,24266
"226",1998-10-01,24181
"227",1998-11-01,24058
"228",1998-12-01,23645
"229",1999-01-01,23901
"230",1999-02-01,23370
"231",1999-03-01,23815
"232",1999-04-01,25247
"233",1999-05-01,23882
"234",1999-06-01,24065
"235",1999-07-01,24028
"236",1999-08-01,24490
"237",1999-09-01,24886
"238",1999-10-01,24705
"239",1999-11-01,24958
"240",1999-12-01,24843
"241",2000-01-01,25060
"242",2000-02-01,25057
"243",2000-03-01,25662
"244",2000-04-01,25598
"245",2000-05-01,25448
"246",2000-06-01,25445
"247",2000-07-01,25287
"248",2000-08-01,25470
"249",2000-09-01,25777
"250",2000-10-01,26313
"251",2000-11-01,26579
"252",2000-12-01,25834
"253",2001-01-01,25878
"254",2001-02-01,26410
"255",2001-03-01,26487
"256",2001-04-01,27097
"257",2001-05-01,26311
"258",2001-06-01,23723
"259",2001-07-01,20447
"260",2001-08-01,20809
"261",2001-09-01,21338
"262",2001-10-01,21305
"263",2001-11-01,21824
"264",2001-12-01,21630
"265",2002-01-01,22324
"266",2002-02-01,22695
