"","date","value"
"1",1980-01-01,1082
"2",1980-02-01,1074
"3",1980-03-01,1086
"4",1980-04-01,1076
"5",1980-05-01,1173
"6",1980-06-01,1128
"7",1980-07-01,1123
"8",1980-08-01,1166
"9",1980-09-01,1164
"10",1980-10-01,1163
"11",1980-11-01,1168
"12",1980-12-01,1232
"13",1981-01-01,1242
"14",1981-02-01,1167
"15",1981-03-01,1237
"16",1981-04-01,1185
"17",1981-05-01,1210
"18",1981-06-01,1220
"19",1981-07-01,1239
"20",1981-08-01,1273
"21",1981-09-01,1279
"22",1981-10-01,1287
"23",1981-11-01,1268
"24",1981-12-01,1261
"25",1982-01-01,1352
"26",1982-02-01,1281
"27",1982-03-01,1277
"28",1982-04-01,1342
"29",1982-05-01,1329
"30",1982-06-01,1356
"31",1982-07-01,1371
"32",1982-08-01,1402
"33",1982-09-01,1432
"34",1982-10-01,1393
"35",1982-11-01,1419
"36",1982-12-01,1419
"37",1983-01-01,1490
"38",1983-02-01,1434
"39",1983-03-01,1454
"40",1983-04-01,1512
"41",1983-05-01,1464
"42",1983-06-01,1496
"43",1983-07-01,1473
"44",1983-08-01,1502
"45",1983-09-01,1548
"46",1983-10-01,1495
"47",1983-11-01,1504
"48",1983-12-01,1531
"49",1984-01-01,1637
"50",1984-02-01,1608
"51",1984-03-01,1583
"52",1984-04-01,1545
"53",1984-05-01,1549
"54",1984-06-01,1607
"55",1984-07-01,1570
"56",1984-08-01,1643
"57",1984-09-01,1654
"58",1984-10-01,1558
"59",1984-11-01,1706
"60",1984-12-01,1655
"61",1985-01-01,1789
"62",1985-02-01,1692
"63",1985-03-01,1665
"64",1985-04-01,1702
"65",1985-05-01,1705
"66",1985-06-01,1727
"67",1985-07-01,1688
"68",1985-08-01,1789
"69",1985-09-01,1791
"70",1985-10-01,1874
"71",1985-11-01,1761
"72",1985-12-01,1829
"73",1986-01-01,1841
"74",1986-02-01,1714
"75",1986-03-01,1695
"76",1986-04-01,1736
"77",1986-05-01,1818
"78",1986-06-01,1770
"79",1986-07-01,1816
"80",1986-08-01,1861
"81",1986-09-01,1873
"82",1986-10-01,1878
"83",1986-11-01,1905
"84",1986-12-01,1868
"85",1987-01-01,2007
"86",1987-02-01,1890
"87",1987-03-01,1944
"88",1987-04-01,1866
"89",1987-05-01,1919
"90",1987-06-01,1873
"91",1987-07-01,1911
"92",1987-08-01,2006
"93",1987-09-01,1981
"94",1987-10-01,1991
"95",1987-11-01,1996
"96",1987-12-01,1977
"97",1988-01-01,2093
"98",1988-02-01,2007
"99",1988-03-01,2016
"100",1988-04-01,2161
"101",1988-05-01,2067
"102",1988-06-01,2120
"103",1988-07-01,2164
"104",1988-08-01,2231
"105",1988-09-01,2346
"106",1988-10-01,2361
"107",1988-11-01,2275
"108",1988-12-01,2356
"109",1989-01-01,2379
"110",1989-02-01,2375
"111",1989-03-01,2329
"112",1989-04-01,2305
"113",1989-05-01,2257
"114",1989-06-01,2323
"115",1989-07-01,2323
"116",1989-08-01,2339
"117",1989-09-01,2423
"118",1989-10-01,2351
"119",1989-11-01,2391
"120",1989-12-01,2371
"121",1990-01-01,2443
"122",1990-02-01,2433
"123",1990-03-01,2368
"124",1990-04-01,2424
"125",1990-05-01,2362
"126",1990-06-01,2386
"127",1990-07-01,2381
"128",1990-08-01,2445
"129",1990-09-01,2469
"130",1990-10-01,2390
"131",1990-11-01,2497
"132",1990-12-01,2429
"133",1991-01-01,2620
"134",1991-02-01,2548
"135",1991-03-01,2493
"136",1991-04-01,2448
"137",1991-05-01,2503
"138",1991-06-01,2538
"139",1991-07-01,2509
"140",1991-08-01,2586
"141",1991-09-01,2618
"142",1991-10-01,2592
"143",1991-11-01,2666
"144",1991-12-01,2621
"145",1992-01-01,2717
"146",1992-02-01,2662
"147",1992-03-01,2599
"148",1992-04-01,2569
"149",1992-05-01,2575
"150",1992-06-01,2566
"151",1992-07-01,2649
"152",1992-08-01,2687
"153",1992-09-01,2624
"154",1992-10-01,2629
"155",1992-11-01,2684
"156",1992-12-01,2628
"157",1993-01-01,2787
"158",1993-02-01,2613
"159",1993-03-01,2670
"160",1993-04-01,2784
"161",1993-05-01,2678
"162",1993-06-01,2675
"163",1993-07-01,2678
"164",1993-08-01,2723
"165",1993-09-01,2775
"166",1993-10-01,2726
"167",1993-11-01,2782
"168",1993-12-01,2758
"169",1994-01-01,2879
"170",1994-02-01,2750
"171",1994-03-01,2734
"172",1994-04-01,2815
"173",1994-05-01,2759
"174",1994-06-01,2839
"175",1994-07-01,2776
"176",1994-08-01,2768
"177",1994-09-01,2958
"178",1994-10-01,2939
"179",1994-11-01,2900
"180",1994-12-01,2922
"181",1995-01-01,3039
"182",1995-02-01,2950
"183",1995-03-01,2981
"184",1995-04-01,2989
"185",1995-05-01,2912
"186",1995-06-01,2970
"187",1995-07-01,2986
"188",1995-08-01,3001
"189",1995-09-01,3191
"190",1995-10-01,3073
"191",1995-11-01,3117
"192",1995-12-01,3109
"193",1996-01-01,3107
"194",1996-02-01,3066
"195",1996-03-01,3022
"196",1996-04-01,3090
"197",1996-05-01,3022
"198",1996-06-01,3087
"199",1996-07-01,3033
"200",1996-08-01,3141
"201",1996-09-01,3184
"202",1996-10-01,3198
"203",1996-11-01,3176
"204",1996-12-01,3154
"205",1997-01-01,3281
"206",1997-02-01,3097
"207",1997-03-01,3215
"208",1997-04-01,3177
"209",1997-05-01,3235
"210",1997-06-01,3171
"211",1997-07-01,3220
"212",1997-08-01,3327
"213",1997-09-01,3417
"214",1997-10-01,3410
"215",1997-11-01,3395
"216",1997-12-01,3332
"217",1998-01-01,3461
"218",1998-02-01,3339
"219",1998-03-01,3355
"220",1998-04-01,3494
"221",1998-05-01,3449
"222",1998-06-01,3363
"223",1998-07-01,3432
"224",1998-08-01,3564
"225",1998-09-01,3596
"226",1998-10-01,3568
"227",1998-11-01,3535
"228",1998-12-01,3503
"229",1999-01-01,3648
"230",1999-02-01,3524
"231",1999-03-01,3525
"232",1999-04-01,3691
"233",1999-05-01,3558
"234",1999-06-01,3564
"235",1999-07-01,3537
"236",1999-08-01,3622
"237",1999-09-01,3723
"238",1999-10-01,3699
"239",1999-11-01,3696
"240",1999-12-01,3631
"241",2000-01-01,3724
"242",2000-02-01,3652
"243",2000-03-01,3695
"244",2000-04-01,3628
"245",2000-05-01,3725
"246",2000-06-01,3756
"247",2000-07-01,3751
"248",2000-08-01,3790
"249",2000-09-01,3812
"250",2000-10-01,3824
"251",2000-11-01,3914
"252",2000-12-01,3740
"253",2001-01-01,3808
"254",2001-02-01,3894
"255",2001-03-01,3813
"256",2001-04-01,3927
"257",2001-05-01,3876
"258",2001-06-01,3605
"259",2001-07-01,3261
"260",2001-08-01,3251
"261",2001-09-01,3337
"262",2001-10-01,3288
"263",2001-11-01,3335
"264",2001-12-01,3267
"265",2002-01-01,3483
"266",2002-02-01,3365
"267",2002-03-01,3375
"268",2002-04-01,3739
"269",2002-05-01,3691
"270",2002-06-01,3702
"271",2002-07-01,3705
"272",2002-08-01,3759
"273",2002-09-01,3828
"274",2002-10-01,3923
"275",2002-11-01,3923
"276",2002-12-01,3833
"277",2003-01-01,3839
"278",2003-02-01,3823
"279",2003-03-01,3877
"280",2003-04-01,3761
"281",2003-05-01,3847
"282",2003-06-01,3871
"283",2003-07-01,3900
"284",2003-08-01,3941
"285",2003-09-01,3985
