"","date","value"
"1",2012-01-01,5.9
"2",2012-04-01,6.9
"3",2012-07-01,6.5
"4",2012-10-01,5.2
"5",2013-01-01,4.3
"6",2013-04-01,5.5
"7",2013-07-01,4.7
"8",2013-10-01,4.8
"9",2014-01-01,6.4
"10",2014-04-01,7.5
"11",2014-07-01,8.3
"12",2014-10-01,8.5
"13",2015-01-01,9.1
"14",2015-04-01,10.1
"15",2015-07-01,10.8
"16",2015-10-01,11.9
"17",2016-01-01,15.1
"18",2016-04-01,13.8
"19",2016-07-01,13.5
"20",2016-10-01,14.2
"21",2017-01-01,16.4
"22",2017-04-01,8.8
"23",2017-07-01,7
"24",2017-10-01,6.2
"25",2018-01-01,7.4
"26",2018-04-01,5.5
"27",2018-07-01,10.2
