"","date","value"
"1",1992-01-01,82756000
"2",1992-02-01,93780000
"3",1992-03-01,119473000
"4",1992-04-01,139279000
"5",1992-05-01,160782000
"6",1992-06-01,215801000
"7",1992-07-01,284030000
"8",1992-08-01,354892000
"9",1992-09-01,417884000
"10",1992-10-01,513391000
"11",1992-11-01,649371000
"12",1992-12-01,796278000
"13",1993-01-01,1037804827
"14",1993-02-01,1128840337
"15",1993-03-01,1480063447
"16",1993-04-01,2135584363
"17",1993-05-01,2671561893
"18",1993-06-01,3592825067
"19",1993-07-01,5192325158
"20",1993-08-01,7137143
"21",1993-09-01,9302710
"22",1993-10-01,11948807
"23",1993-11-01,16999944
"24",1993-12-01,24811174
"25",1994-01-01,34157145
"26",1994-02-01,39605591
"27",1994-03-01,53947844
"28",1994-04-01,80873400
"29",1994-05-01,120740243
"30",1994-06-01,227688860
"31",1994-07-01,95043
"32",1994-08-01,119509
"33",1994-09-01,141676
"34",1994-10-01,126615
"35",1994-11-01,146430
"36",1994-12-01,145462
"37",1995-01-01,146806
"38",1995-02-01,138010
"39",1995-03-01,154203
"40",1995-04-01,146316
"41",1995-05-01,152133
"42",1995-06-01,167683
"43",1995-07-01,174609
"44",1995-08-01,168940
"45",1995-09-01,186504
"46",1995-10-01,173121
"47",1995-11-01,184294
"48",1995-12-01,181344
"49",1996-01-01,187670
"50",1996-02-01,177627
"51",1996-03-01,177983
"52",1996-04-01,183636
"53",1996-05-01,193897
"54",1996-06-01,205483
"55",1996-07-01,200383
"56",1996-08-01,217481
"57",1996-09-01,214314
"58",1996-10-01,221283
"59",1996-11-01,234464
"60",1996-12-01,231938
"61",1997-01-01,229105
"62",1997-02-01,217307
"63",1997-03-01,191856
"64",1997-04-01,186836
"65",1997-05-01,226684
"66",1997-06-01,230723
"67",1997-07-01,243536
"68",1997-08-01,215828
"69",1997-09-01,217474
"70",1997-10-01,214859
"71",1997-11-01,258575
"72",1997-12-01,245726
"73",1998-01-01,212962
"74",1998-02-01,194525
"75",1998-03-01,261671
"76",1998-04-01,198316
"77",1998-05-01,205310
"78",1998-06-01,211737
"79",1998-07-01,216046
"80",1998-08-01,217587
"81",1998-09-01,225796
"82",1998-10-01,214616
"83",1998-11-01,228292
"84",1998-12-01,219245
"85",1999-01-01,212559
"86",1999-02-01,185112
"87",1999-03-01,194831
"88",1999-04-01,208543
"89",1999-05-01,214866
"90",1999-06-01,217639
"91",1999-07-01,231657
"92",1999-08-01,238412
"93",1999-09-01,261558
"94",1999-10-01,263970
"95",1999-11-01,282057
"96",1999-12-01,282946
"97",2000-01-01,288976
"98",2000-02-01,269345
"99",2000-03-01,263746
"100",2000-04-01,269142
"101",2000-05-01,283557
"102",2000-06-01,302103
"103",2000-07-01,332792
"104",2000-08-01,326750
"105",2000-09-01,326784
"106",2000-10-01,343732
"107",2000-11-01,345446
"108",2000-12-01,350818
"109",2001-01-01,352430
"110",2001-02-01,325032
"111",2001-03-01,306200
"112",2001-04-01,369424
"113",2001-05-01,362779
"114",2001-06-01,374244
"115",2001-07-01,368773
"116",2001-08-01,408125
"117",2001-09-01,379667
"118",2001-10-01,383371
"119",2001-11-01,395154
"120",2001-12-01,360602
"121",2002-01-01,417018
"122",2002-02-01,381988
"123",2002-03-01,349588
"124",2002-04-01,392067
"125",2002-05-01,386893
"126",2002-06-01,405255
"127",2002-07-01,416273
"128",2002-08-01,448074
"129",2002-09-01,484548
"130",2002-10-01,471620
"131",2002-11-01,506297
"132",2002-12-01,483442
"133",2003-01-01,509520
"134",2003-02-01,491560
"135",2003-03-01,475027
"136",2003-04-01,476594
"137",2003-05-01,486907
"138",2003-06-01,505619
"139",2003-07-01,518764
"140",2003-08-01,542848
"141",2003-09-01,551793
"142",2003-10-01,544919
"143",2003-11-01,572842
"144",2003-12-01,553260
"145",2004-01-01,575103
"146",2004-02-01,536528
"147",2004-03-01,494325
"148",2004-04-01,544034
"149",2004-05-01,575046
"150",2004-06-01,590493
"151",2004-07-01,597806
"152",2004-08-01,625244
"153",2004-09-01,691853
"154",2004-10-01,661634
"155",2004-11-01,673544
"156",2004-12-01,709279
"157",2005-01-01,701093
"158",2005-02-01,618074
"159",2005-03-01,615020
"160",2005-04-01,646104
"161",2005-05-01,680554
"162",2005-06-01,707368
"163",2005-07-01,718688
"164",2005-08-01,719823
"165",2005-09-01,783966
"166",2005-10-01,749960
"167",2005-11-01,769305
"168",2005-12-01,820448
"169",2006-01-01,819300
"170",2006-02-01,735484
"171",2006-03-01,690809
"172",2006-04-01,739734
"173",2006-05-01,736813
"174",2006-06-01,765469
"175",2006-07-01,773406
"176",2006-08-01,791396
"177",2006-09-01,854549
"178",2006-10-01,894943
"179",2006-11-01,864172
"180",2006-12-01,926969
"181",2007-01-01,887446
"182",2007-02-01,776186
"183",2007-03-01,729085
"184",2007-04-01,833293
"185",2007-05-01,865509
"186",2007-06-01,871821
"187",2007-07-01,896278
"188",2007-08-01,898215
"189",2007-09-01,961204
"190",2007-10-01,952689
"191",2007-11-01,974433
"192",2007-12-01,937296
"193",2008-01-01,973966
"194",2008-02-01,816919
"195",2008-03-01,856044
"196",2008-04-01,917574
"197",2008-05-01,958822
"198",2008-06-01,1004889
"199",2008-07-01,1070541
"200",2008-08-01,1071717
"201",2008-09-01,1186842
"202",2008-10-01,1868315
"203",2008-11-01,1181829
"204",2008-12-01,1117984
"205",2009-01-01,1078527
"206",2009-02-01,923942
"207",2009-03-01,893019
"208",2009-04-01,921449
"209",2009-05-01,1005024
"210",2009-06-01,995573
"211",2009-07-01,1028024
"212",2009-08-01,1101931
"213",2009-09-01,1138888
"214",2009-10-01,1160355
"215",2009-11-01,1384834
"216",2009-12-01,1232585
"217",2010-01-01,1180075
"218",2010-02-01,1076475
"219",2010-03-01,1102591
"220",2010-04-01,1285247
"221",2010-05-01,1283659
"222",2010-06-01,1314638
"223",2010-07-01,1318394
"224",2010-08-01,1333056
"225",2010-09-01,1439990
"226",2010-10-01,1341774
"227",2010-11-01,1389321
"228",2010-12-01,1441030
"229",2011-01-01,1405084
"230",2011-02-01,1294119
"231",2011-03-01,1273094
"232",2011-04-01,1295484
"233",2011-05-01,1323265
"234",2011-06-01,1369411
"235",2011-07-01,1457302
"236",2011-08-01,1548527
"237",2011-09-01,1489411
"238",2011-10-01,1502589
"239",2011-11-01,1520288
"240",2011-12-01,1552226
"241",2012-01-01,1566998
"242",2012-02-01,1414049
"243",2012-03-01,1447141
"244",2012-04-01,1563050
"245",2012-05-01,1543909
"246",2012-06-01,1650793
"247",2012-07-01,1642891
"248",2012-08-01,1644246
"249",2012-09-01,1817552
"250",2012-10-01,1695318
"251",2012-11-01,1896512
"252",2012-12-01,1718659
"253",2013-01-01,1733516
"254",2013-02-01,1611730
"255",2013-03-01,1483051
"256",2013-04-01,1702754
"257",2013-05-01,1766245
"258",2013-06-01,1743813
"259",2013-07-01,1859524
"260",2013-08-01,1845607
"261",2013-09-01,1946005
"262",2013-10-01,1951903
"263",2013-11-01,2183317
"264",2013-12-01,2233941
"265",2014-01-01,2005853
"266",2014-02-01,1924004
"267",2014-03-01,1854920
"268",2014-04-01,1891554
"269",2014-05-01,1940361
"270",2014-06-01,1972837
"271",2014-07-01,1905085
"272",2014-08-01,2045622
"273",2014-09-01,2020299
"274",2014-10-01,2011513
"275",2014-11-01,2228706
"276",2014-12-01,2321886
"277",2015-01-01,2178372
"278",2015-02-01,1985267
"279",2015-03-01,1911076
"280",2015-04-01,2046166
"281",2015-05-01,2110693
"282",2015-06-01,2037170
"283",2015-07-01,2017793
"284",2015-08-01,2089389
"285",2015-09-01,2112405
"286",2015-10-01,2113159
"287",2015-11-01,2122404
"288",2015-12-01,2122998
"289",2016-01-01,2174942
"290",2016-02-01,2006720
"291",2016-03-01,1991004
"292",2016-04-01,2029656
"293",2016-05-01,2044006
"294",2016-06-01,2026548
"295",2016-07-01,2066086
"296",2016-08-01,2194708
"297",2016-09-01,2205011
"298",2016-10-01,2118357
"299",2016-11-01,2110195
"300",2016-12-01,2195553
"301",2017-01-01,2292682
"302",2017-02-01,1955742
"303",2017-03-01,1965576
"304",2017-04-01,2136186
"305",2017-05-01,2280711
"306",2017-06-01,2187101
"307",2017-07-01,2296176
"308",2017-08-01,2295931
"309",2017-09-01,2447422
"310",2017-10-01,2370692
"311",2017-11-01,2380942
"312",2017-12-01,2384757
"313",2018-01-01,2502240
"314",2018-02-01,2346519
"315",2018-03-01,2193039
"316",2018-04-01,2369646
"317",2018-05-01,2331298
"318",2018-06-01,2314572
"319",2018-07-01,2469033
"320",2018-08-01,2552687
"321",2018-09-01,2591640
"322",2018-10-01,2648494
"323",2018-11-01,2696636
"324",2018-12-01,2799172
