"","date","value"
"1",1980-01-01,-1.99
"2",1981-01-01,-0.3
"3",1982-01-01,0.67
"4",1983-01-01,-5.61
"5",1984-01-01,-1.36
"6",1985-01-01,1.42
"7",1986-01-01,6.34
"8",1987-01-01,4.51
"9",1988-01-01,6.17
"10",1989-01-01,-7.83
"11",1990-01-01,6.88
"12",1991-01-01,9.73
"13",1992-01-01,6.06
"14",1993-01-01,0.27
"15",1994-01-01,-2.35
"16",1995-01-01,3.95
"17",1996-01-01,-0.2
"18",1997-01-01,6.37
"19",1998-01-01,0.3
"20",1999-01-01,-5.97
"21",2000-01-01,3.69
"22",2001-01-01,3.39
"23",2002-01-01,-8.86
"24",2003-01-01,-7.76
"25",2004-01-01,18.29
"26",2005-01-01,10.32
"27",2006-01-01,9.87
"28",2007-01-01,8.75
"29",2008-01-01,5.28
"30",2009-01-01,-3.2
"31",2010-01-01,-1.49
"32",2011-01-01,4.18
"33",2012-01-01,5.63
"34",2013-01-01,1.34
"35",2014-01-01,-3.89
"36",2015-01-01,-6.22
