"","date","value"
"1",1985-01-01,14.44
"2",1986-01-01,8.66
"3",1987-01-01,10.58
"4",1988-01-01,10.24
"5",1989-01-01,13.29
"6",1990-01-01,17.5
"7",1991-01-01,15.16
"8",1992-01-01,14.18
"9",1993-01-01,14.69
"10",1994-01-01,16.09
"11",1995-01-01,18.46
"12",1996-01-01,23.06
"13",1997-01-01,21.62
"14",1998-01-01,17.19
"15",1999-01-01,20.19
"16",2000-01-01,31.41
"17",2001-01-01,25.35
"18",2002-01-01,25.89
"19",2003-01-01,23.99
"20",2004-01-01,33.99
"21",2005-01-01,51.86
"22",2006-01-01,59.21
"23",2007-01-01,69.17
"24",2008-01-01,93.24
