"","date","value"
"1",1989-01-01,11332204
"2",1989-02-01,19854268
"3",1989-03-01,19581437
"4",1989-04-01,8011075
"5",1989-05-01,20751750
"6",1989-06-01,14594258
"7",1989-07-01,13937284
"8",1989-08-01,33496267
"9",1989-09-01,9755155
"10",1989-10-01,22719239
"11",1989-11-01,25177481
"12",1989-12-01,21676415
"13",1990-01-01,28626170
"14",1990-02-01,11644985
"15",1990-03-01,16620410
"16",1990-04-01,13466123
"17",1990-05-01,7726101
"18",1990-06-01,6973307
"19",1990-07-01,8468672
"20",1990-08-01,13556803
"21",1990-09-01,43472951
"22",1990-10-01,42791358
"23",1990-11-01,96441095
"24",1990-12-01,71848601
"25",1991-01-01,54650989
"26",1991-02-01,4602774
"27",1991-03-01,29854349
"28",1991-04-01,10476925
"29",1991-05-01,36541104
"30",1991-06-01,61410856
"31",1991-07-01,25034666
"32",1991-08-01,85247087
"33",1991-09-01,36304865
"34",1991-10-01,60426118
"35",1991-11-01,61207178
"36",1991-12-01,28665524
"37",1992-01-01,28819426
"38",1992-02-01,46975248
"39",1992-03-01,36630777
"40",1992-04-01,17858601
"41",1992-05-01,23991930
"42",1992-06-01,29366445
"43",1992-07-01,31962111
"44",1992-08-01,31095831
"45",1992-09-01,41190356
"46",1992-10-01,29302596
"47",1992-11-01,30928310
"48",1992-12-01,35287065
"49",1993-01-01,31669442
"50",1993-02-01,21238177
"51",1993-03-01,43606359
"52",1993-04-01,20829088
"53",1993-05-01,16242655
"54",1993-06-01,26764064
"55",1993-07-01,32054528
"56",1993-08-01,39350043
"57",1993-09-01,48283391
"58",1993-10-01,44298875
"59",1993-11-01,26363482
"60",1993-12-01,42698759
"61",1994-01-01,43278265
"62",1994-02-01,27833274
"63",1994-03-01,37230632
"64",1994-04-01,26856264
"65",1994-05-01,55114688
"66",1994-06-01,37163992
"67",1994-07-01,31679945
"68",1994-08-01,69093289
"69",1994-09-01,51980494
"70",1994-10-01,43834571
"71",1994-11-01,57899585
"72",1994-12-01,69259279
"73",1995-01-01,74792152
"74",1995-02-01,53524632
"75",1995-03-01,65451336
"76",1995-04-01,72557978
"77",1995-05-01,69076660
"78",1995-06-01,115671337
"79",1995-07-01,53058107
"80",1995-08-01,61969601
"81",1995-09-01,58024891
"82",1995-10-01,81371844
"83",1995-11-01,67933992
"84",1995-12-01,49930762
"85",1996-01-01,55254205
"86",1996-02-01,36625475
"87",1996-03-01,42669072
"88",1996-04-01,39338043
"89",1996-05-01,61396595
"90",1996-06-01,76331678
"91",1996-07-01,89691505
"92",1996-08-01,95718896
"93",1996-09-01,86781329
"94",1996-10-01,124570337
"95",1996-11-01,116436783
"96",1996-12-01,151533216
"97",1997-01-01,6060330
"98",1997-02-01,63637984
"99",1997-03-01,128411541
"100",1997-04-01,110373944
"101",1997-05-01,61143312
"102",1997-06-01,92232305
"103",1997-07-01,56807343
"104",1997-08-01,95045422
"105",1997-09-01,103125177
"106",1997-10-01,100479535
"107",1997-11-01,106297801
"108",1997-12-01,82535561
"109",1998-01-01,88681253
"110",1998-02-01,46695754
"111",1998-03-01,97590586
"112",1998-04-01,90222241
"113",1998-05-01,74322907
"114",1998-06-01,55200989
"115",1998-07-01,59566692
"116",1998-08-01,43218038
"117",1998-09-01,60474801
"118",1998-10-01,54743772
"119",1998-11-01,39197630
"120",1998-12-01,45658711
"121",1999-01-01,42932483
"122",1999-02-01,31231810
"123",1999-03-01,97869416
"124",1999-04-01,51660306
"125",1999-05-01,85370062
"126",1999-06-01,68269590
"127",1999-07-01,43165585
"128",1999-08-01,74837811
"129",1999-09-01,83598371
"130",1999-10-01,120119095
"131",1999-11-01,100360502
"132",1999-12-01,174964914
"133",2000-01-01,84623205
"134",2000-02-01,60807844
"135",2000-03-01,133775310
"136",2000-04-01,104210502
"137",2000-05-01,95907959
"138",2000-06-01,126356501
"139",2000-07-01,156351093
"140",2000-08-01,198856634
"141",2000-09-01,93763909
"142",2000-10-01,148172740
"143",2000-11-01,90824400
"144",2000-12-01,34022079
"145",2001-01-01,61143269
"146",2001-02-01,46805942
"147",2001-03-01,50043749
"148",2001-04-01,95460364
"149",2001-05-01,75128507
"150",2001-06-01,56535764
"151",2001-07-01,88963444
"152",2001-08-01,62876188
"153",2001-09-01,33847396
"154",2001-10-01,56649953
"155",2001-11-01,68451641
"156",2001-12-01,51077058
"157",2002-01-01,51594147
"158",2002-02-01,41908294
"159",2002-03-01,51917923
"160",2002-04-01,59077593
"161",2002-05-01,31790724
"162",2002-06-01,56037473
"163",2002-07-01,69538118
"164",2002-08-01,56320208
"165",2002-09-01,64918757
"166",2002-10-01,66829318
"167",2002-11-01,50869269
"168",2002-12-01,32258221
"169",2003-01-01,14965500
"170",2003-02-01,5725230
"171",2003-03-01,7472649
"172",2003-04-01,16459770
"173",2003-05-01,38991632
"174",2003-06-01,28309995
"175",2003-07-01,15981944
"176",2003-08-01,29655932
"177",2003-09-01,49898137
"178",2003-10-01,26301539
"179",2003-11-01,28241399
"180",2003-12-01,13150724
"181",2004-01-01,10782260
"182",2004-02-01,17157905
"183",2004-03-01,10467273
"184",2004-04-01,9389277
"185",2004-05-01,10390425
"186",2004-06-01,14041550
"187",2004-07-01,11409707
"188",2004-08-01,15612217
"189",2004-09-01,20440062
"190",2004-10-01,35053154
"191",2004-11-01,26110831
"192",2004-12-01,18228659
"193",2005-01-01,11445963
"194",2005-02-01,16407464
"195",2005-03-01,17494747
"196",2005-04-01,23823123
"197",2005-05-01,18896371
"198",2005-06-01,21974241
"199",2005-07-01,13549103
"200",2005-08-01,10557967
"201",2005-09-01,68212015
"202",2005-10-01,15184843
"203",2005-11-01,14804715
"204",2005-12-01,23254855
"205",2006-01-01,37458110
"206",2006-02-01,27605709
"207",2006-03-01,18216197
"208",2006-04-01,55329188
"209",2006-05-01,65916724
"210",2006-06-01,42053866
"211",2006-07-01,94390846
"212",2006-08-01,97099798
"213",2006-09-01,65321810
"214",2006-10-01,24341111
"215",2006-11-01,20717200
"216",2006-12-01,43102819
"217",2007-01-01,36866024
"218",2007-02-01,25585316
"219",2007-03-01,28975469
"220",2007-04-01,18354001
"221",2007-05-01,43428619
"222",2007-06-01,34652407
"223",2007-07-01,27385245
"224",2007-08-01,18759431
"225",2007-09-01,24833797
"226",2007-10-01,37277751
"227",2007-11-01,24208047
"228",2007-12-01,25598488
"229",2008-01-01,35035664
"230",2008-02-01,34685938
"231",2008-03-01,17446150
"232",2008-04-01,35810040
"233",2008-05-01,89933221
"234",2008-06-01,60167605
"235",2008-07-01,48149553
"236",2008-08-01,96823558
"237",2008-09-01,33678050
"238",2008-10-01,35545130
"239",2008-11-01,38324253
"240",2008-12-01,13173550
"241",2009-01-01,17446882
"242",2009-02-01,17653054
"243",2009-03-01,37099070
"244",2009-04-01,30498265
"245",2009-05-01,45143978
"246",2009-06-01,49585302
"247",2009-07-01,57130991
"248",2009-08-01,54450912
"249",2009-09-01,78916543
"250",2009-10-01,57355990
"251",2009-11-01,90169310
"252",2009-12-01,46142990
"253",2010-01-01,52622911
"254",2010-02-01,90375317
"255",2010-03-01,94152765
"256",2010-04-01,58714271
"257",2010-05-01,78182633
"258",2010-06-01,90673006
"259",2010-07-01,56700982
"260",2010-08-01,64043043
"261",2010-09-01,96431544
"262",2010-10-01,31415667
"263",2010-11-01,33895722
"264",2010-12-01,85459271
"265",2011-01-01,68337095
"266",2011-02-01,66341259
"267",2011-03-01,140654494
"268",2011-04-01,149024048
"269",2011-05-01,68807145
"270",2011-06-01,117312473
"271",2011-07-01,125277349
"272",2011-08-01,154336116
"273",2011-09-01,78342434
"274",2011-10-01,88757334
"275",2011-11-01,118776179
"276",2011-12-01,90390459
"277",2012-01-01,62832270
"278",2012-02-01,119401463
"279",2012-03-01,145086434
"280",2012-04-01,37057004
"281",2012-05-01,137647084
"282",2012-06-01,96166637
"283",2012-07-01,51289320
"284",2012-08-01,35919130
"285",2012-09-01,79936126
"286",2012-10-01,64277937
"287",2012-11-01,56416634
"288",2012-12-01,110806921
"289",2013-01-01,23730035
"290",2013-02-01,156636104
"291",2013-03-01,104943498
"292",2013-04-01,100218633
"293",2013-05-01,64154860
"294",2013-06-01,88127191
"295",2013-07-01,66349807
"296",2013-08-01,146016716
"297",2013-09-01,107014702
"298",2013-10-01,95133988
"299",2013-11-01,159579910
"300",2013-12-01,68834365
"301",2014-01-01,57536289
"302",2014-02-01,143120079
"303",2014-03-01,64846723
"304",2014-04-01,110221929
"305",2014-05-01,138322438
"306",2014-06-01,37778343
"307",2014-07-01,83735808
"308",2014-08-01,150180029
"309",2014-09-01,102586988
"310",2014-10-01,73819701
"311",2014-11-01,129387282
"312",2014-12-01,82582629
"313",2015-01-01,53426377
"314",2015-02-01,80689821
"315",2015-03-01,97989961
"316",2015-04-01,41958086
"317",2015-05-01,50435319
"318",2015-06-01,60745855
"319",2015-07-01,82416164
"320",2015-08-01,66010259
"321",2015-09-01,29008376
"322",2015-10-01,20501483
"323",2015-11-01,56719016
"324",2015-12-01,39979419
"325",2016-01-01,19820150
"326",2016-02-01,82633866
"327",2016-03-01,48491625
"328",2016-04-01,46819941
"329",2016-05-01,23115831
"330",2016-06-01,11198022
"331",2016-07-01,48174591
"332",2016-08-01,31904833
"333",2016-09-01,19660160
"334",2016-10-01,23109409
"335",2016-11-01,25839983
"336",2016-12-01,34431026
"337",2017-01-01,68471130
"338",2017-02-01,24703515
"339",2017-03-01,22056546
"340",2017-04-01,50245282
"341",2017-05-01,36699334
"342",2017-06-01,26606090
"343",2017-07-01,17271411
"344",2017-08-01,41216658
"345",2017-09-01,30296935
"346",2017-10-01,9899149
"347",2017-11-01,19127472
"348",2017-12-01,45101431
"349",2018-01-01,7802602
"350",2018-02-01,25152284
"351",2018-03-01,11715803
"352",2018-04-01,12873297
"353",2018-05-01,10014008
"354",2018-06-01,16679352
"355",2018-07-01,19330027
"356",2018-08-01,13024796
"357",2018-09-01,17542136
"358",2018-10-01,16545242
"359",2018-11-01,7816164
"360",2018-12-01,12380948
"361",2019-01-01,12256932
