,code,description,unit,periodicity,start,last_value,source
162,26195,Credit operations outstanding by grantor segment and region - small-sized enterprise - Non-banking financial institutions (except credit unions) - North,R$ (million),Q,31/03/2012,4º Quar. 2017,SCR
164,26210,90 days past due loans by region - microenterprise - North,%,Q,31/03/2012,4º Quar. 2017,SCR
166,26215,90 days past due loans by region - small-sized enterprise - North,%,Q,31/03/2012,4º Quar. 2017,SCR
168,26720,Credit operations outstanding by grantor segment and region - Banking segment - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef
170,26725,Credit operations outstanding by grantor segment and region - Credit unions - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef
172,26730,Credit operations outstanding by grantor segment and region - Non-banking financial institutions (except credit unions) - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef
174,26740,90 days past due loans by region - individual microentrepreneur (MEI) - North,%,Q,31/03/2016,4º Quar. 2017,BCB-Depef
176,26982,Credit operations outstanding of individuals registered as MEI by region - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef
178,27076,90 days past due loans of individuals registered as MEI by region - North,%,Q,31/03/2016,4º Quar. 2017,BCB-Depef
180,27118,Average interest rate of individuals registered as MEI by region - North,% p.y.,Q,31/03/2016,4º Quar. 2017,BCB-Depef
182,27322,Credit operations outstanding by region - individual microentrepreneur (MEI) - North,R$ (million),Q,31/03/2016,4º Quar. 2017,BCB-Depef
184,27481,Active quotas of consortium of individuals in the North region,Units,A,31/12/2008,2017,SAG
186,27540,Individuals with vehicle quotas by region - Northern region,Units,A,31/12/2008,2017,SAG
188,27546,Individuals with motorcycles quotas by region - Northern region,Units,A,31/12/2008,2017,SAG
190,27552,Individuals with real estate quotas by region - Northern region,Units,A,31/12/2008,2017,SAG
192,27564,Individuals with quotas by region - Northern region,Units,A,31/12/2008,2017,SAG
194,3208,Exports (Fob) - Northern Mariana Islands,US$,M,31/01/1989,mar/2018,MDIC/Secex
195,3440,Imports (Fob) - Northern Mariana Islands,US$,M,31/01/1989,mar/2018,MDIC/Secex
41,24002,PMS - Services volume index - Total - Norte,Index,M,01/01/2012,jan/2018,BCB e IBGE
42,25760,Credit operations outstanding by source of funds - microenterprise - earmarked credit - FNO - Fundo Constitucional do Norte,R$ (million),Q,31/03/2012,4¿ Quar. 2017,SCR
43,25779,Credit operations outstanding by source of funds - small-sized enterprise - earmarked credit - FNO - Fundo Constitucional do Norte,R$ (million),Q,31/03/2012",4¿ Quar. 2017,SCR
